Situacao,,Desatracação,DWT,IMO,SaldoTotal,Chegada,ETB,Operador,Cal.Cheg.,Tons/Dia,Mercadoria,Embarcação,Saldo,JanelaOperacional,Atracação,SaldoOperador,Prancha(t/dia),Programação,LOA,DUV,Realizado,Agência,Sentido,Berço,TipodeOperação,ETA,Cal.Saída,Desatracacao,Bordo,Status,Previsto
ATRACADOS,BB,,15/12/2024 05:10 - 21/12/2024 11:38,15/12/2024 05:10,,,,"7.771,000 Tons.",,,"2.228,660 Tons.",UREIA,,,,,,Imp,19/11/2024 13:06,ORION,,"10.000,000 Tons.","5.557,000 Tons.",HARBOR,,,,,"1.942,571",,
ATRACADOS,16,,"81.746,00",9836701,"32.357,060 Tons.",18/11/2024 14:48,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"7.409,000 Tons.",SULFATO DE AMONIO,TAYGETUS,,15/12/2024 09:00 - 23/12/2024 01:57,15/12/2024 09:00,"26.499,040 Tons.","5.512,600",74872,"228,99",0501822024,"14.501,000 Tons.",ISS MARINE,Imp,208,,,,,BE,,"41.000,000 Tons."
ATRACADOS,BE,,15/12/2024 09:00 - 23/12/2024 03:12,15/12/2024 09:00,,,,"12.642,000 Tons.",,,"5.858,020 Tons.",SULFATO DE AMONIO,,,,,,Imp,18/11/2024 14:48,ISS MARINE,,"18.500,000 Tons.","6.508,000 Tons.",HARBOR,,,,,"2.487,392",,
ATRACADOS,17,,"83.002,00",9310642,"21.109,420 Tons.",18/11/2024 06:15,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"8.251,000 Tons.",UREIA,LAUSANNE,,11/12/2024 22:30 - 23/12/2024 04:48,11/12/2024 22:30,"21.109,420 Tons.","6.500,000",74812,"228,99",0510862024,"46.207,000 Tons.",ZPORT,Imp,211,,,,,BB,,"67.316,000 Tons."
PROGRAMADOS,1,,"12.767,00",9431472,,17/12/2024 14:42,,TCP,,,CONTÊINERES (CONTENTORES) INCL,POTENTIA,,,,,,74999,"138,50",0552012024,,BPA,Exp,215,,,,,-,,"200,000 Tons."
PROGRAMADOS,2,,"51.624,00",9548823,,17/12/2024 08:00,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,,EM ROLOS,STAR NAVARRA,,,,,,75070,"199,89",0557072024,,SEATRADE SERVICOS PORTUARIOS E LOGISTICOS,Exp,202,,,,,-,,"4.124,000 Tons."
PROGRAMADOS,3,,"132.623,00",9786748,,17/12/2024 04:00,,TCP (ESA),,,CONTÊINERES (CONTENTORES) INCL,KOTA PELANGI,,,,,,74996,"330,00",0541102024,,UNIMAR,Imp/Exp,216,,,,,-,,1.300 Movs.
PROGRAMADOS,4,,"49.689,00",9685463,,16/12/2024 08:42,16/12/2024 10:00,CATTALINI,,,OLEO DE SOJA,STENA IMAGINATION,,,,,,75099,"183,20",0559602024,,FERTIMPORT,Exp,143,,,,,-,,"13.500,000 Tons."
PROGRAMADOS,5,,"48.038,00",9612777,,,,TCP (NCO),,,CONTÊINERES (CONTENTORES) INCL,NC BRUMA,,,,,,74797,"223,91",0499612024,,ROCHAMAR,Imp/Exp,215,,,,,-,,1.050 Movs.
PROGRAMADOS,6,,"124.453,00",9622215,,13/12/2024 03:00,,TCP (SCS),,,CONTÊINERES (CONTENTORES) INCL,SAN MARCO MAERSK,,,,,,75064,"333,20",0483252024,,LACHMANN,Imp,218,,,,,-,,800 Movs.
PROGRAMADOS,7,,"28.496,00",9550278,,10/12/2024 01:00,,MARCON,,,OUTS.ACUCARES,LADY AILLAR,,150:27,,,"4.000,000",75000 - REP,"169,37",0550312024,,ALPHAMAR,Exp,205,,,,,BE,,"25.078,000 Tons."
PROGRAMADOS,8,,"46.590,00",9400801,,09/12/2024 15:30,,TRANSPETRO PGUA,,,FUEL-OIL (OLEO COMBUSTIVEL),QUEEN OF DORIA,,,,,,74993,"179,90",0557792024,,LACHMANN,Exp,141,,,,,-,,"25.500,000 Tons."
PROGRAMADOS,9,,"51.687,00",9401972,,03/12/2024 11:54,12/12/2024 19:00,CEU AZUL,,,AÇÚCAR,BONAS,,,,,,74933,"188,50",0536412024,,CARGONAVE,Exp,204,,,,,-,,"43.837,000 Tons."
PROGRAMADOS,10,,"61.458,00",9763875,,11/12/2024 04:42,,PORTO PONTA DO FELIX S/A,,,UREIA,TOP GRACE,,,,,,74961,"199,90",0533152024,,FORTENAVE,Imp,113,,,,,-,,"35.100,000 Tons."
PROGRAMADOS,11,,"34.014,42",9250696,,20/11/2024 05:15,,HARBOR,,,UREIA,BOSPHORUS ASIA,,,,,,74754,"177,00",0511682024,,ALPHAMAR,Imp,212,,,,,-,,"24.828,000 Tons."
PROGRAMADOS,12,,"85.062,00",9841287,,06/11/2024 05:30,,FOSPAR,,,SULFATO DE AMONIO,TOKYO QUEEN,,,,,,74677,"229,00",0498472024,,WILSON SONS,Imp,200,,,,,-,,"75.530,000 Tons."
AO LARGO PARA REATRACAÇÃO,1,15/12/2024 23:45,"116.384,00",9627904,,13/12/2024 18:00,,TCP (NBN),,,CONTÊINERES (CONTENTORES) INCL,TRAIGUEN,800 Movs.,,15/12/2024 05:35,,0,75063,"299,90",0495542024,0 Movs.,LACHMANN,Imp/Exp,218,,,,,BB,,800 Movs.
AO LARGO PARA REATRACAÇÃO,2,15/12/2024 01:10,"49.994,00",9751406,,08/12/2024 11:00,,CATTALINI,,,METANOL,TARANAKI SUN,"20.539,000 Tons.",13/12/2024 14:15 - 16/12/2024 11:58,13/12/2024 14:15,,"15.000,000",74896,"186,00",0519082024,"15.270,000 Tons.",ROCHAMAR,Imp,143,,,,,BB,,"35.809,000 Tons."
AO LARGO PARA REATRACAÇÃO,3,11/12/2024 13:00,"63.301,00",9575187,,21/11/2024 17:00,,HARBOR,,,OUTROS ADUBOS OU FERTILIZS.MIN,DAMON,"27.361,000 Tons.",08/12/2024 20:54 - 15/12/2024 04:58,08/12/2024 20:54,,"7.500,000",74666,"199,99",0477902024,"6.969,000 Tons.",WORLD SHIPPING PARANA,Imp,201,,,,,BE,,"34.330,000 Tons."
AO LARGO PARA REATRACAÇÃO,BE,,11/12/2024 13:00,08/12/2024 20:54,,,,"6.969,000 Tons.",,,"27.361,000 Tons.",CLORETOS DE POTASSIO,,,,,,Imp,21/11/2024 17:00,WORLD SHIPPING PARANA,,"34.330,000 Tons.","7.500,000",HARBOR,,,,,08/12/2024 20:54 - 15/12/2024 04:58,,
AO LARGO,1,,"144.653,00",9945849,,17/12/2024 05:30,,TCP (SSA),"11,50",,CONTÊINERES (CONTENTORES) INCL,COSCO SHIPPING ARGENTINA,,,,,,75098,"335,95",0559002024,,UNIMAR,Imp/Exp,216,,17/12/2024 07:00,"11,50",,,,650 Movs.
AO LARGO,2,,"132.343,00",9937323,,17/12/2024 05:30,,TCP (IPS),"11,00",,CONTÊINERES (CONTENTORES) INCL,ONE AMAZON,,,,,,75051,"329,86",0551982024,,WILSON SONS,Imp/Exp,216,,17/12/2024 06:00,"12,00",,,,500 Movs.
AO LARGO,3,,"131.095,00",9633939,,16/12/2024 10:30,,TCP (SCS),"10,00",,CONTÊINERES (CONTENTORES) INCL,CAP SAN ARTEMISSIO,,,,,,75066,"333,20",0493242024,,LACHMANN,Imp/Exp,218,,17/12/2024 01:00,"9,00",,,,800 Movs.
AO LARGO,4,,"38.167,00",9590967,,16/12/2024 21:00,,HARBOR,"10,00",,ADUBOS OU FERTILIZANTES C/NITR,IRMGARD,,,,,,74982,"179,97",0549572024,,MASTER OPERAÇÕES,Imp,211,,16/12/2024 21:00,"7,00",,,,"35.404,000 Tons."
AO LARGO,5,,"33.649,00",9597654,,15/12/2024 23:30,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"8,98",,CEVADA CERVEJEIRA,ECO CROSSFIRE,,,,,,75055,"179,99",0553062024,,WILSON SONS,Imp,206,,15/12/2024 23:30,"6,15",,,,"25.500,000 Tons."
AO LARGO,6,,"53.299,00",9308106,,14/12/2024 11:05,,CEU AZUL,"7,00",,AÇÚCAR,EVANTHIA,,,,,,75101,"190,00",0560162024,,CARGONAVE,Exp,204,,15/12/2024 23:00,"12,60",,,,"515.000,000 Tons."
AO LARGO,7,,"27.129,20",9255189,,13/12/2024 19:30,,MARCON,"5,50",,AÇÚCAR,DS MANATEE,,,,,,75115,"178,43",0558542024,,FORTENAVE,Exp,205,,15/12/2024 19:30,"7,70",,,,"5.010,000 Tons."
AO LARGO,8,,"25.028,00",9427574,,14/12/2024 23:59,,PORTO PONTA DO FELIX S/A,"6,50",,AÇÚCAR,LUCKY TRADER,,,,,,75021,"157,23",0551292024,,WILSON SONS,Exp,113,,14/12/2024 23:59,"8,50",,,,"27.500,000 Tons."
AO LARGO,9,,"50.913,00",9205940,,14/12/2024 00:18,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"7,50",,FARELO DE SOJA,SEAVENUS,,,,,,75056,"189,99",0554872024,,FERTIMPORT,Exp,213,,14/12/2024 00:01,"7,50",,,,"41.895,000 Tons."
AO LARGO,10,,"81.889,00",9582556,,13/12/2024 23:30,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,00",,SULFATO DE AMONIO,IONIC KIBOU,,,,,,74721,"228,99",0483552024,,ROCHAMAR,Imp,209,,13/12/2024 23:30,"7,00",,,,"66.000,000 Tons."
AO LARGO,11,,"37.713,00",9748409,,13/12/2024 21:12,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,20",,FERTILIZ.MINER.QUIM.C/NITROGEN,CS JENNA,,,,,,75032,"179,97",0549132024,,ROCHAMAR,Imp,208,,13/12/2024 21:12,"8,50",,,,"17.171,000 Tons."
AO LARGO,12,,"27.129,20",9255189,,13/12/2024 19:30,,FORTEPAR OPERAÇÕES PORTUÁRIAS S.A.,"5,50",,AÇÚCAR,DS MANATEE,,,,,,75078,"178,43",0558542024,,FORTENAVE,Exp,205,,13/12/2024 19:30,"7,70",,,,"12.035,000 Tons."
