TipoNavio,NavioShip,BandeiraFlag,Com/LenCal/Draft,Nav,Cheg/Arrivald/m/y,CarimboNotice,AgênciaOffice,OperaçOperat,MercadoriaGoods,PesoWeight,ViagemVoyage,DUV,P,Terminal,IMO
SEM PRIORIDADE,CBO ENDEAVOUR (REB),BRASILEIRA,805,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,5251-92024,509692024,B,SAIPEN,09417830
SEM PRIORIDADE,CBO ENDEAVOUR (REB),BRASILEIRA,805,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,4941-12024,481272024,B,SAIPEN,09417830
SEM PRIORIDADE,HOEGH GIANT,SINGAPURENSE,2949,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,GRAN.LIQUIDO NAO ESPECIF,1,5167-82024,495022024,B,TRSP,09762962
SEM PRIORIDADE,SAIPEM FDS,BAHAMENSE,1637,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,4977-62024,485782024,B,SAIPEN,09210749
SEM PRIORIDADE,SAIPEM FDS,BAHAMENSE,1637,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,5273-22024,510062024,B,SAIPEN,09210749
SEM PRIORIDADE,SIEM EMERALD,NORUEGUESA,917,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,5252-52024,509882024,B,SAIPEN,09417701
SEM PRIORIDADE,SIEM EMERALD,NORUEGUESA,917,Long,17/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,4925-62024,481162024,B,SAIPEN,09417701
SEM PRIORIDADE,THE UNITY,PANAMENHA,2296,Long,17/12/2024,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB ,REPAROS,3,5526-82024,538152024,SP,CODESP-RUA,09301043
SEM PRIORIDADE,ATLANTIC ORCHARD,LIBERIANA,1809.1,Long,17/12/2024 16:00:00,5389-9,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB ,SUCOS CITRICOS A GRANEL,24000,5646-32024,551312024,B,29/30,09638159
SEM PRIORIDADE,CHESAPEAKE HIGHWAY,PANAMENHA,2008,Long,18/12/2024,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMBDESC,VEICULOVEICULO,92000,5109-82024,497232024,SP,TEVI,09565546
SEM PRIORIDADE,VIGOROUS,ILHAS MARSHALL,1807,Cabo,18/12/2024 01:00:00,,ORION OPERACOES PORTUARIAS LTDA,DESC   ,PRODUTOS SIDERURGICOS,29996,5748--2024,561552024,B,USIMINAS,09546239
SEM PRIORIDADE,GREAT SHANG,PANAMENHA,20011,Long,22/12/2024 07:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB ,PAPEL E CELULOSE,43000,5782-42024,569432024,B,35/37,09766906
SEM PRIORIDADE,CBO ANITA,BRASILEIRA,765,Long,20/01/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,5768-12024,568672024,B,SAIPEN,09477402
SEM PRIORIDADE,CBO ANITA,BRASILEIRA,765,Long,25/01/2025 06:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB ,CARGA GERAL,1,5729-62024,561812024,B,SAIPEN,09477402
