PROGRAMAÇÃO,EMBARCAÇÃO,AGENTE,ETA,CHEGADA,ATRACAÇÃO,DESATRACAÇÃO,STATUS,MERCADORIA,QUANTIDADE (T),CLIENTE,OPERADOR,Berco
7025,NAVEGRÃOS II,PORTO FACIL,10/12/2024 15:00,10/12/2024 16:00,08/12/2024 13:20,,Atracado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","2.000,000",,FERTITEX SANTAREM,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7026,NAVEGRÃOS I,PORTO FACIL,10/12/2024 15:00,10/12/2024 16:00,09/12/2024 20:09,,Atracado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","2.000,000",,FERTITEX SANTAREM,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
7030,UNIGRÃOS IV,PORTO FACIL,11/12/2024 18:00,11/12/2024 19:00,06/12/2024 22:49,,Atracado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","2.000,000",,FERTITEX SANTAREM,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6675,PLUTO,ORION RODOS MARITIMA,07/12/2024 00:00,12/12/2024 00:00,10/12/2024 10:05,,Atracado,"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","13.682,800",,BERTUOL - SORRISO/MT,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","4.000,000",,FERTITEX SANTAREM,,,,,,,,,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","7.000,000",,MASTER NORTE (SANTAREM),,,,,,,,,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
"Adubos (fertilizantes) minerais ou químicos, nitrogenados (azotados).","5.000,000",,MASTER NORTE (SANTAREM),,,,,,,,,"                          BERÇO CDP - FUNDEIO (STM01) - ÁREA BRAVO-LOA / CALADO MÁXIMO 0,00m / 11,75m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 11,75m                      "
6468,NAUTICA,WILHELMSEN PORT SERVICES BRASIL LTDA,23/11/2024 07:00,23/11/2024 15:00,23/11/2024 07:00,,Confirmado,,,,,"                          BERÇO USO DO CANAL-LOA / CALADO MÁXIMO 0,00m / 14,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 14,00m                      "
6501,STA. ANA,WILSON SONS SERVIÇOS MARITIMOS (SANTARÉM),11/11/2024 18:00,15/11/2024 12:00,11/11/2024 20:00,,Confirmado,Reservado para usos especiais pelas Partes Contratantes,,,WILSON SONS SERVIÇOS MARITIMOS (SANTARÉM),"                          BERÇO USO DO CANAL-LOA / CALADO MÁXIMO 0,00m / 14,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 14,00m                      "
5073,DONA WALDIR,VIBRA ENERGIA,31/07/2024 09:00,31/07/2024 09:30,31/07/2024 09:15,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","78,557",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
5074,DONA WALDIR,VIBRA ENERGIA,31/07/2024 09:30,31/07/2024 10:00,31/07/2024 09:45,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","142,369",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
5075,TIA TEREZINHA,VIBRA ENERGIA,31/07/2024 10:00,31/07/2024 10:30,31/07/2024 10:15,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","405,178",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
5076,DONA WALDIR,VIBRA ENERGIA,31/07/2024 10:30,31/07/2024 11:00,31/07/2024 10:45,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","167,336",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
5077,CLAUDIA MUSTAFA,VIBRA ENERGIA,31/07/2024 11:00,31/07/2024 11:30,31/07/2024 11:15,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","144,172",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
5078,TIA TEREZINHA,VIBRA ENERGIA,31/07/2024 11:00,31/07/2024 11:30,31/07/2024 11:15,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","412,011",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6856,AMAZONIA 2020,PETROLEO SABBA S/A,05/12/2024 07:20,05/12/2024 17:00,05/12/2024 08:00,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","164,142",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6857,WPL 2030,PETROLEO SABBA S/A,05/12/2024 07:20,05/12/2024 17:00,05/12/2024 08:00,,Confirmado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","2.504,273",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6814,OMS XXV,VIBRA ENERGIA,29/11/2024 13:00,29/11/2024 13:30,01/11/2024 07:00,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","2.239,809",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6815,OMS XXV,VIBRA ENERGIA,29/11/2024 13:30,29/11/2024 14:00,04/11/2024 13:00,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","752,388",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6816,JOSEFA MUSTAFA,VIBRA ENERGIA,29/11/2024 14:00,29/11/2024 14:30,05/11/2024 10:30,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","134,763",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6820,JESSICA ALE,VIBRA ENERGIA,29/11/2024 14:30,29/11/2024 15:00,06/11/2024 07:40,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","336,965",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6822,OMS XXV,VIBRA ENERGIA,29/11/2024 15:00,29/11/2024 15:30,07/11/2024 12:50,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","894,556",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6824,JOSEFA MUSTAFA,VIBRA ENERGIA,29/11/2024 15:30,29/11/2024 16:00,08/11/2024 06:00,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","176,550",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6826,JESSICA ALE,VIBRA ENERGIA,29/11/2024 15:30,29/11/2024 16:00,11/11/2024 07:00,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","325,588",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6626,WPL 2005,PETROLEO SABBA S/A,19/11/2024 07:20,19/11/2024 17:00,13/11/2024 06:50,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","344,187",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6736,FLU FLAMBOYANT,PETROLEO SABBA S/A,25/11/2024 07:20,25/11/2024 17:00,21/11/2024 06:50,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","1.777,619",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6737,AMAZONIA 2020,PETROLEO SABBA S/A,25/11/2024 07:20,25/11/2024 17:00,21/11/2024 06:50,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","122,211",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6827,JESSICA ALE,VIBRA ENERGIA,29/11/2024 16:00,29/11/2024 16:30,22/11/2024 01:45,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","87,676",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6828,CLAUDIA MUSTAFA,VIBRA ENERGIA,29/11/2024 16:30,29/11/2024 17:00,22/11/2024 08:30,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","220,020",,VIBRA ENERGIA,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
6795,AMAZONIA 2020,PETROLEO SABBA S/A,30/11/2024 07:20,30/11/2024 17:00,26/11/2024 06:50,,Atracado,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos. preparações não especificadas nem","183,758",,PETROLEO SABBA S/A,"                          BERÇO CPS - BERÇO ARRENDADO (T02) - PÍER DE MADEIRA-LOA / CALADO MÁXIMO 0,00m / 15,00m                          BERTH -LOA / MAXIMUM DRAFT 0,00m / 15,00m                      "
